Date/Time :,2020/12/16 @ 02:59:50 PM,2020/12/17 @ 03:07:58 PM,2020/12/18 @ 02:59:02 PM,2020/12/19 @ 03:07:32 PM,2020/12/20 @ 02:58:37 PM,2020/12/21 @ 03:06:01 PM,2020/12/22 @ 02:58:03 PM,2020/12/23 @ 03:06:55 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5
Probe Name :,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5,1AP5
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

857.938,126.616,126.598,127.392,126.633,126.603,126.458,126.708,127.438
858.438,126.772,126.817,127.392,126.508,126.541,126.489,126.895,127.469
858.938,126.710,126.911,127.611,126.758,126.822,126.614,126.864,127.469
859.469,127.022,127.317,128.079,127.101,127.103,127.021,127.426,128.001
859.969,128.022,128.036,128.861,128.039,128.009,128.021,128.239,128.876
860.469,129.335,129.723,130.704,129.476,129.541,129.521,129.739,130.251
861.000,131.335,131.973,132.829,131.789,131.728,131.864,131.926,132.782
861.500,133.679,134.598,135.423,134.351,134.134,134.177,134.551,135.126
862.000,134.991,136.005,136.892,135.914,135.728,135.708,135.958,136.626
862.531,135.429,136.442,137.673,136.539,136.384,136.396,136.583,137.219
863.031,135.147,136.067,137.173,135.976,135.947,135.989,136.114,136.532
863.531,133.647,134.567,135.579,134.664,134.572,134.552,134.708,135.251
864.063,131.772,132.223,133.298,132.476,132.447,132.396,132.520,133.032
864.563,129.585,129.973,130.798,130.070,129.978,130.021,130.176,130.719
865.063,128.335,128.505,129.329,128.633,128.416,128.552,128.833,129.407
865.594,127.772,127.942,128.611,127.851,127.853,127.677,127.989,128.594
866.094,127.147,127.411,128.236,127.258,127.259,127.271,127.676,128.188
