Date/Time :,2018/12/06 @ 03:08:06 PM,2018/12/07 @ 03:15:05 PM,2018/12/08 @ 02:54:44 PM,2018/12/09 @ 03:01:52 PM,2018/12/10 @ 03:08:19 PM,2018/12/11 @ 03:15:13 PM,2018/12/12 @ 02:53:47 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2
Probe Name :,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2,1BP2
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

1008.587,165.829,166.847,167.984,172.261,197.994,248.248,
1009.087,166.610,167.910,168.734,172.605,197.744,248.561,
1009.587,167.641,168.754,169.452,173.074,198.494,246.998,
1010.119,168.235,168.972,169.577,172.886,197.275,245.061,
1010.619,168.329,168.754,168.921,172.386,197.244,245.655,
1011.119,168.266,169.191,169.140,172.636,197.181,245.998,
1011.650,169.266,170.066,169.984,173.293,195.463,245.967,
1012.150,169.766,170.472,170.421,173.824,196.963,246.123,
1012.650,169.610,170.222,170.109,173.543,196.431,246.561,
1013.181,168.985,169.754,169.796,173.074,196.369,247.217,
1013.681,168.829,169.379,169.452,172.949,195.806,246.561,
1014.181,168.329,168.972,169.202,172.855,195.369,246.405,
1014.712,166.923,168.379,169.046,172.918,196.994,248.186,
1015.212,166.048,167.066,168.421,172.855,198.338,248.342,
1015.712,165.516,166.785,168.046,172.480,197.619,247.780,
1016.244,165.110,166.629,168.077,172.480,197.181,248.248,
1016.744,165.360,166.660,167.921,172.636,196.744,247.873,
1017.244,165.360,166.504,168.296,173.136,197.025,248.655,
1017.775,165.548,167.191,168.859,173.074,198.463,247.186,
1018.275,166.235,167.847,169.046,173.386,198.400,247.842,
1018.775,167.016,168.566,169.296,173.980,196.806,248.998,
1019.306,167.485,168.816,169.734,173.949,197.650,247.092,
1019.806,168.016,169.097,170.202,173.949,198.088,247.186,
1020.306,167.454,168.597,169.640,174.074,198.088,246.498,
1020.837,166.266,167.441,169.140,173.668,198.931,246.623,
1021.337,165.673,166.879,168.702,173.324,199.400,246.967,
1021.837,165.298,166.566,168.546,172.980,198.713,248.123,
1022.369,165.235,166.504,168.265,172.824,198.150,247.905,
1022.869,165.141,166.379,167.796,172.824,197.275,248.373,
1023.369,165.141,166.441,168.077,172.793,196.806,247.217,
1023.900,165.141,166.504,168.234,172.855,197.713,248.280,
1024.400,165.173,166.347,168.234,172.918,195.431,247.717,
1024.900,165.548,166.785,168.702,172.918,198.931,248.280,
1025.431,167.016,168.472,169.109,173.574,200.713,249.248,
1025.931,169.266,170.347,170.234,173.886,198.525,249.780,
1026.431,169.735,170.472,170.327,174.230,198.806,247.530,
1026.962,169.891,170.316,170.296,174.105,198.306,248.280,
1027.462,169.360,169.972,170.171,173.668,199.088,248.405,
1027.962,169.485,170.066,170.046,173.918,198.744,246.780,
1028.494,169.704,170.191,170.296,173.855,197.713,248.030,
1028.994,170.204,170.566,170.734,173.824,198.588,248.717,
1029.525,170.204,171.129,170.577,173.574,198.338,248.530,
1030.025,170.454,171.035,170.484,173.636,198.338,248.998,
1030.525,169.798,170.254,170.296,173.574,197.588,249.155,
1031.056,168.048,168.879,169.734,173.386,197.775,248.780,
1031.556,166.360,167.285,168.859,173.168,198.588,248.155,
1032.056,165.454,166.754,168.171,172.761,198.588,247.686,
1032.587,165.141,166.347,168.109,172.980,197.650,247.811,
1033.087,164.985,166.160,168.265,172.730,196.713,247.686,
1033.587,164.891,166.285,168.046,172.418,196.588,248.311,
1034.119,164.891,166.254,168.046,172.699,196.525,247.811,
1034.619,165.110,166.410,168.202,172.699,197.744,248.155,
1035.119,165.329,166.535,168.202,173.074,197.338,248.373,
1035.650,165.891,167.097,168.765,173.293,198.275,248.717,
1036.150,165.985,167.097,168.796,173.449,199.275,248.217,
1036.650,165.735,166.816,168.577,173.261,198.306,248.123,
1037.181,165.141,166.222,168.452,173.199,196.369,247.311,
1037.681,164.735,166.191,168.140,172.855,197.119,247.655,
1038.181,164.798,166.254,168.077,172.855,197.463,247.592,
1038.712,165.516,166.972,168.515,172.824,198.525,246.873,
1039.212,167.266,168.316,169.609,173.886,196.681,249.405,
1039.712,169.204,169.972,170.140,174.418,197.931,249.405,
1040.244,169.673,170.504,170.515,174.449,197.525,250.092,
1040.744,167.798,168.629,169.577,173.636,199.744,249.498,
1041.244,165.360,166.535,168.577,173.136,197.213,248.248,
1041.775,164.423,165.879,167.765,172.855,197.369,247.561,
1042.275,165.110,166.379,168.109,172.855,197.306,247.592,
1042.775,166.735,168.191,168.952,173.543,197.525,247.373,
1043.306,168.923,169.972,170.265,174.136,197.588,248.092,
1043.806,170.016,170.285,170.546,174.136,198.306,248.998,
1044.306,169.235,169.754,169.640,173.355,198.306,249.030,
1044.837,168.079,169.004,169.296,173.355,197.119,248.905,
1045.337,168.329,168.972,169.609,173.386,196.744,247.998,
1045.837,169.360,170.535,170.265,173.980,197.900,248.530,
1046.369,170.985,171.754,171.046,174.230,199.056,248.842,
1046.869,171.048,171.566,170.952,174.449,197.775,248.717,
1047.369,170.235,170.597,170.609,174.324,197.463,247.780,
1047.900,168.141,168.754,169.671,173.668,197.900,249.280,
1048.400,165.735,166.691,169.015,173.199,198.494,249.061,
1048.900,165.141,166.316,168.796,173.074,198.119,248.780,
1049.431,165.141,166.535,168.546,173.105,197.681,247.811,
1049.931,165.110,166.472,168.546,173.136,197.650,249.686,
1050.462,165.016,166.535,168.452,173.136,197.056,248.061,
1050.962,165.016,166.472,168.734,173.136,198.056,250.436,
1051.462,165.423,166.754,168.640,173.574,197.931,249.811,
1051.994,165.516,167.035,168.890,173.574,198.088,249.030,
1052.494,165.516,167.222,169.077,173.761,198.900,250.217,
1052.994,165.610,167.222,168.796,173.730,198.494,249.030,
1053.525,165.298,166.535,168.515,173.480,197.525,249.436,
1054.025,164.391,165.847,168.202,172.730,197.463,249.186,
1054.525,164.579,165.816,167.984,172.949,199.400,249.155,
1055.056,165.391,166.472,168.296,173.105,197.869,248.061,
1055.556,167.298,168.566,169.390,173.886,197.931,248.842,
1056.056,169.641,170.629,170.827,174.543,199.275,249.280,
1056.587,171.016,171.629,171.359,174.824,197.775,248.592,
1057.087,170.829,171.316,170.890,174.449,197.806,248.592,
1057.587,168.641,169.254,169.796,173.855,197.650,248.780,
1058.119,166.391,167.410,168.702,173.043,197.838,248.186,
1058.619,164.891,166.097,167.921,173.043,198.306,245.967,
1059.119,164.610,165.691,167.640,172.386,196.806,246.717,
1059.650,164.360,165.410,167.609,172.386,197.150,247.342,
1060.150,164.579,165.816,167.859,172.386,196.775,247.123,
1060.650,164.735,166.660,168.671,173.293,197.838,246.186,
1061.181,166.141,167.879,169.671,173.824,198.244,247.436,
1061.681,168.454,170.097,170.890,174.480,198.369,249.092,
1062.181,170.954,171.722,171.921,174.793,197.150,249.311,
1062.712,172.141,172.379,171.890,174.793,198.088,248.530,
1063.212,171.485,172.254,171.577,174.699,199.619,248.217,
1063.712,170.360,170.847,170.609,173.668,197.306,248.842,
1064.244,168.516,169.379,169.702,173.418,196.619,248.467,
1064.744,167.016,168.129,168.890,172.793,195.650,247.873,
1065.244,165.673,166.754,168.234,172.918,196.181,246.811,
1065.775,164.829,166.316,168.109,172.949,198.431,247.498,
1066.275,164.548,166.097,167.827,172.699,197.494,248.436,
1066.775,164.423,165.722,167.890,172.699,194.869,248.123,
