Date/Time :,2020/12/15 @ 12:41:58 PM,2020/12/16 @ 12:33:16 PM,2020/12/17 @ 12:41:21 PM,2020/12/18 @ 12:48:45 PM,2020/12/19 @ 12:40:49 PM,2020/12/20 @ 12:48:20 PM,2020/12/21 @ 12:39:27 PM,2020/12/22 @ 12:47:51 PM,2020/12/23 @ 12:40:09 PM
Survey Type :,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS,FINAL_DTS
X Units :,Meters,Meters,Meters,Meters,Meters,Meters,Meters,Meters,Meters
Y Units :,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius,Celsius
Calibrated Depth Interval :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Distance Average :,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Time Average :,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59,23:59:59
Asset :,1AP6,1AP6,1AP6,1AP6,1AP6,1AP6,1AP6,1AP6,1AP6
Probe Name :,1AP6,1AP6,1AP6,1AP6,1AP6,1AP6,1AP6,1AP6,1AP6
Distance (m),Temp(C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C),Temp (C)

825.765,166.200,165.851,165.840,166.633,165.950,165.720,166.096,166.453,166.558
826.265,166.075,165.851,165.840,166.665,165.981,165.627,166.127,166.609,166.527
826.765,165.950,165.664,165.653,166.665,165.793,165.564,166.002,166.359,166.464
827.296,165.919,165.539,165.559,166.415,165.700,165.533,165.783,166.109,166.370
827.796,166.106,165.633,165.684,166.571,165.700,165.720,165.908,166.171,166.277
828.296,166.419,166.070,165.997,166.977,166.106,166.033,166.252,166.390,166.620
828.828,166.606,166.289,166.215,167.040,166.168,166.252,166.440,166.609,166.839
829.328,166.325,166.039,165.934,166.727,165.981,165.939,166.252,166.484,166.683
829.828,165.731,165.414,165.372,166.196,165.606,165.470,165.752,166.046,166.183
830.359,165.419,164.945,164.840,165.883,165.262,165.064,165.440,165.546,165.714
830.859,165.294,164.883,164.872,166.008,165.043,164.970,165.315,165.546,165.589
831.359,165.575,165.383,165.434,166.258,165.200,165.158,165.502,165.984,165.839
831.890,166.138,165.820,165.622,166.696,165.700,165.627,165.940,166.546,166.558
832.390,166.138,165.570,165.559,166.602,165.762,165.658,166.065,166.421,166.620
832.890,165.450,165.070,165.028,165.727,165.293,165.002,165.377,165.640,165.777
833.421,165.263,165.039,164.872,165.321,164.762,164.720,164.877,165.359,165.277
833.921,165.700,165.476,165.153,165.821,165.137,165.095,165.283,165.796,165.777
834.421,165.731,165.601,165.059,165.821,165.200,165.127,165.315,165.765,165.777
834.953,165.044,164.914,164.340,165.196,164.450,164.345,164.658,165.046,165.152
835.453,164.544,164.383,163.997,164.915,164.137,163.908,164.221,164.734,164.777
835.953,164.544,164.508,164.278,165.071,164.231,164.189,164.408,164.859,164.777
836.484,164.200,164.226,164.059,164.883,163.856,163.908,164.158,164.421,164.464
836.984,162.638,162.383,162.278,163.040,162.137,162.127,162.283,162.671,162.652
837.484,160.669,160.383,160.184,160.977,160.012,160.064,160.315,160.765,160.839
838.015,160.669,160.351,159.997,160.915,159.856,160.033,160.315,160.828,160.839
838.515,162.856,162.164,162.028,162.977,162.012,162.064,162.377,162.921,162.870
839.015,165.513,164.758,164.809,165.852,164.887,164.814,165.158,165.515,165.652
839.546,167.044,166.601,166.528,167.571,166.668,166.377,166.721,167.265,167.277
840.046,167.200,166.726,166.715,167.727,166.856,166.783,167.190,167.765,167.745
840.546,166.481,166.039,165.997,166.946,166.293,166.189,166.596,167.078,167.277
841.078,165.981,165.289,165.434,166.290,165.700,165.502,165.940,166.171,166.433
841.578,165.919,165.289,165.340,166.196,165.575,165.408,165.752,165.984,166.120
